gender,parental_education,study_hours,attendance_rate,past_exam_score,internet_access,extracurricular_activities,final_score
Female,Intermediate,13,87,51,Yes,Yes,83
Female,PhD,12,87,59,No,No,76
Male,High School,6,68,76,Yes,Yes,72
Female,Bachelors,5,75,100,No,Yes,79
Female,High School,18,100,67,Yes,Yes,90
Male,Intermediate,10,81,78,Yes,No,76
Female,None,17,92,68,Yes,No,81
Female,Intermediate,7,78,99,Yes,No,77
Male,Bachelors,16,64,43,Yes,No,61
Male,High School,25,83,71,Yes,Yes,91
Male,Bachelors,19,82,45,Yes,Yes,79
Male,Bachelors,11,81,32,Yes,Yes,66
Female,Masters,17,83,74,Yes,Yes,100
Female,High School,13,87,72,Yes,Yes,76
Male,Intermediate,15,83,65,No,No,66
Female,High School,12,72,68,Yes,Yes,83
Female,PhD,13,89,100,No,Yes,100
Female,Masters,16,65,66,Yes,Yes,96
Female,Intermediate,7,64,77,Yes,Yes,73
Female,Masters,6,92,60,Yes,No,90
Female,Intermediate,3,90,74,Yes,Yes,72
Female,Bachelors,2,84,66,Yes,Yes,72
Female,None,5,71,63,Yes,No,43
Male,Bachelors,16,77,97,Yes,Yes,100
Male,High School,7,82,87,No,Yes,65
Male,Masters,19,69,72,Yes,Yes,90
Male,Bachelors,15,77,35,Yes,Yes,65
Female,Bachelors,0,91,64,Yes,No,80
Female,None,20,99,100,Yes,No,89
Male,High School,21,80,66,Yes,Yes,71
Male,High School,7,92,86,Yes,No,84
Male,Intermediate,18,65,91,Yes,Yes,77
Female,None,8,91,73,Yes,Yes,68
Female,Masters,15,76,57,Yes,Yes,69
Female,Intermediate,4,88,33,Yes,Yes,53
Female,High School,0,82,80,No,Yes,65
Male,Intermediate,11,98,57,Yes,No,63
Male,Intermediate,14,76,72,Yes,No,67
Female,Bachelors,11,91,51,Yes,Yes,80
Male,Intermediate,5,82,66,No,Yes,61
Male,Masters,11,83,70,Yes,Yes,100
Female,Intermediate,17,83,74,Yes,Yes,98
Female,PhD,14,76,53,Yes,Yes,79
Female,Masters,16,84,87,Yes,Yes,100
Female,High School,9,84,61,Yes,No,75
Female,Masters,24,87,44,Yes,Yes,83
Female,High School,5,85,68,Yes,Yes,63
Female,Masters,18,92,70,Yes,Yes,96
Female,Intermediate,24,94,72,Yes,Yes,91
Male,Masters,18,74,90,Yes,Yes,95
Female,Masters,13,93,66,Yes,No,92
Male,Masters,10,73,68,Yes,Yes,79
Female,Bachelors,23,90,53,No,No,66
Male,High School,3,91,82,Yes,Yes,80
Female,None,7,65,72,Yes,Yes,68
Female,Intermediate,11,85,63,Yes,Yes,70
Male,High School,24,80,41,Yes,No,76
Male,Bachelors,18,77,91,Yes,Yes,83
Male,High School,7,98,51,Yes,No,64
Female,PhD,12,78,61,Yes,Yes,86
Female,Bachelors,10,76,75,Yes,No,77
Male,Masters,9,85,52,Yes,Yes,77
Male,High School,22,91,47,Yes,No,87
Male,Masters,4,83,38,Yes,Yes,66
Male,Masters,27,96,80,Yes,No,100
Female,Intermediate,21,90,61,Yes,Yes,88
Male,Bachelors,23,63,100,Yes,Yes,99
Female,Bachelors,11,79,55,Yes,Yes,81
Female,High School,13,79,56,Yes,No,86
Female,Intermediate,3,89,61,Yes,Yes,66
Male,Intermediate,10,58,73,Yes,No,62
Female,High School,18,100,62,Yes,Yes,78
Female,Intermediate,25,90,79,No,Yes,84
Male,None,6,86,55,Yes,Yes,52
Female,None,12,96,49,Yes,No,65
Male,High School,13,100,43,Yes,No,81
Female,PhD,3,93,36,Yes,No,75
Female,Intermediate,19,94,62,Yes,Yes,83
Male,PhD,9,86,65,Yes,No,82
Female,Intermediate,13,83,60,No,No,70
Female,High School,11,80,88,Yes,Yes,78
Female,Intermediate,8,76,88,Yes,No,93
Female,Intermediate,14,78,64,Yes,No,88
Male,High School,13,71,43,Yes,No,63
Female,Bachelors,12,84,61,Yes,No,79
Male,High School,9,68,61,Yes,Yes,75
Female,Bachelors,17,86,60,Yes,Yes,93
Male,Bachelors,28,84,59,Yes,No,82
Male,High School,16,86,60,Yes,Yes,73
Male,None,22,79,64,Yes,No,63
Female,Bachelors,3,100,60,Yes,No,81
Female,Intermediate,16,98,73,Yes,No,90
Female,None,6,72,75,Yes,No,55
Male,PhD,3,87,56,Yes,Yes,80
Male,None,9,78,89,Yes,Yes,67
Male,Bachelors,24,74,55,No,Yes,68
Female,PhD,22,71,45,Yes,Yes,89
Male,High School,16,89,75,Yes,Yes,79
Male,High School,2,78,57,No,Yes,53
Female,High School,13,94,74,Yes,No,69
Female,High School,17,94,33,Yes,No,67
Male,High School,16,98,90,Yes,Yes,92
Male,Bachelors,0,76,80,Yes,Yes,75
Male,None,7,89,47,Yes,No,58
Female,Intermediate,14,91,47,Yes,Yes,76
Male,PhD,19,80,95,Yes,Yes,100
Female,Masters,0,77,58,Yes,Yes,65
Female,Bachelors,13,100,57,Yes,Yes,99
Female,High School,16,87,36,Yes,Yes,63
Male,Bachelors,21,91,64,Yes,No,87
Male,Intermediate,20,76,66,Yes,Yes,89
Male,Intermediate,19,72,80,No,Yes,100
Female,High School,8,79,49,No,Yes,47
Male,Masters,0,83,47,Yes,Yes,76
Female,Intermediate,11,74,76,No,No,62
Male,High School,23,84,85,Yes,No,84
Female,Intermediate,26,68,46,No,No,57
Female,Intermediate,20,73,86,Yes,Yes,81
Female,Masters,18,91,70,Yes,No,92
Female,Bachelors,18,91,86,Yes,No,85
Male,Bachelors,10,81,68,Yes,No,87
Male,None,13,74,32,Yes,Yes,56
Female,Intermediate,28,74,67,Yes,Yes,89
Male,Intermediate,7,81,85,Yes,Yes,80
Female,None,27,91,56,Yes,No,73
Male,High School,12,94,64,Yes,Yes,81
Male,Bachelors,25,80,67,Yes,Yes,83
Male,High School,3,73,26,Yes,No,46
Female,Intermediate,19,87,95,Yes,No,87
Male,High School,9,76,56,Yes,No,59
Male,None,3,79,77,Yes,Yes,54
Female,High School,16,98,68,Yes,No,90
Female,PhD,23,93,88,No,Yes,95
Male,Masters,8,86,76,Yes,Yes,99
Male,PhD,3,72,66,Yes,Yes,90
Male,Intermediate,14,87,56,No,Yes,58
Male,High School,14,95,81,Yes,Yes,79
Male,Intermediate,19,81,41,Yes,No,88
Female,Intermediate,22,98,79,Yes,Yes,100
Female,Masters,14,97,53,Yes,No,85
Female,None,29,100,88,Yes,Yes,97
Male,Intermediate,16,88,72,Yes,Yes,81
Female,High School,12,90,79,Yes,Yes,86
Male,High School,2,99,71,No,Yes,62
Male,Bachelors,12,89,43,Yes,Yes,62
Male,Intermediate,12,79,57,Yes,Yes,65
Female,Intermediate,22,80,80,Yes,Yes,90
Male,Intermediate,18,87,72,Yes,Yes,78
Female,Intermediate,5,72,87,Yes,Yes,79
Male,Bachelors,16,83,76,Yes,No,80
Female,Masters,20,95,55,Yes,Yes,87
Female,PhD,27,63,58,Yes,No,94
Male,Bachelors,22,100,71,Yes,No,96
Female,High School,21,96,35,Yes,No,70
Female,Bachelors,15,80,95,Yes,No,100
Male,Intermediate,18,90,76,Yes,Yes,92
Male,High School,24,85,88,Yes,No,100
Male,Masters,4,97,46,Yes,No,73
Male,None,12,94,88,Yes,Yes,80
Male,Masters,8,70,100,Yes,Yes,86
Female,Intermediate,18,90,50,No,Yes,65
Female,Bachelors,24,82,81,Yes,No,100
Female,Bachelors,10,85,70,No,No,81
Male,Masters,0,77,46,Yes,Yes,78
Male,Bachelors,11,100,77,No,Yes,70
Female,Bachelors,22,95,82,Yes,Yes,100
Female,None,19,77,60,No,Yes,48
Male,Intermediate,18,71,87,No,No,81
Female,High School,12,81,44,Yes,Yes,64
Male,Bachelors,4,89,47,No,Yes,68
Male,Intermediate,19,87,72,Yes,Yes,77
Male,Bachelors,8,97,70,Yes,No,93
Female,None,32,92,59,Yes,Yes,73
Male,None,19,94,82,Yes,No,77
Male,Bachelors,10,88,77,Yes,Yes,82
Male,None,10,71,82,Yes,Yes,60
Male,None,14,83,68,No,Yes,64
Male,None,13,95,79,Yes,Yes,93
Male,PhD,23,84,63,Yes,Yes,100
Female,Bachelors,16,90,100,No,No,90
Male,Intermediate,9,81,57,No,No,68
Male,High School,30,74,100,No,No,86
Female,High School,15,83,70,Yes,Yes,83
Male,Bachelors,21,88,49,No,No,69
Male,Bachelors,10,78,90,Yes,Yes,92
Male,High School,17,82,71,Yes,Yes,84
Female,High School,17,75,82,Yes,Yes,79
Female,None,0,96,88,Yes,Yes,76
Male,Bachelors,31,82,75,Yes,No,95
Male,Bachelors,25,99,61,Yes,Yes,100
Female,High School,11,100,84,Yes,Yes,80
Male,None,6,84,70,Yes,No,66
Male,None,17,74,80,Yes,Yes,90
Male,PhD,15,64,37,Yes,Yes,84
Male,High School,17,70,76,Yes,Yes,89
Female,Bachelors,16,71,60,Yes,No,78
Female,Bachelors,19,98,94,Yes,No,100
Female,Intermediate,26,86,79,Yes,Yes,100
Male,High School,19,88,73,No,Yes,85
Female,High School,6,62,77,Yes,Yes,57
Female,Bachelors,25,73,55,Yes,No,72
Female,Bachelors,28,93,94,Yes,Yes,100
Male,Bachelors,40,87,99,Yes,Yes,100
Male,Intermediate,6,83,75,Yes,Yes,74
Female,None,16,90,93,Yes,Yes,78
Female,PhD,0,100,61,Yes,Yes,83
Male,Bachelors,19,82,58,Yes,No,72
Female,High School,10,85,70,Yes,Yes,92
Female,PhD,30,86,76,Yes,Yes,100
Female,Bachelors,8,100,64,Yes,No,82
Female,Intermediate,1,64,78,Yes,No,73
Female,Bachelors,11,91,74,Yes,Yes,96
Female,Masters,0,83,55,Yes,Yes,83
Female,Bachelors,21,90,77,No,Yes,93
Male,High School,0,78,82,No,No,56
Female,High School,15,84,72,Yes,Yes,78
Male,Masters,0,92,87,Yes,No,94
Male,High School,12,100,51,Yes,No,68
Female,Intermediate,28,93,77,Yes,Yes,96
Male,Intermediate,17,76,52,Yes,Yes,77
Female,Intermediate,8,80,53,No,Yes,66
Male,Bachelors,14,80,60,No,Yes,59
Female,Masters,15,67,55,Yes,Yes,86
Female,High School,18,81,61,Yes,No,72
Female,High School,4,92,66,Yes,No,76
Male,High School,19,72,82,Yes,Yes,89
Male,Masters,0,95,65,Yes,No,92
Male,Bachelors,9,89,46,Yes,Yes,85
Female,High School,11,77,87,Yes,Yes,91
Male,Masters,20,83,57,Yes,Yes,99
Female,Masters,15,100,69,Yes,No,95
Male,Masters,3,92,76,No,No,77
Female,Masters,7,85,72,Yes,No,91
Female,High School,16,82,86,Yes,Yes,91
Female,Bachelors,14,85,77,Yes,Yes,88
Female,Intermediate,10,79,57,Yes,Yes,76
Male,Masters,11,63,100,Yes,Yes,95
Female,Bachelors,20,100,72,Yes,No,87
Male,Bachelors,10,86,67,No,No,80
Female,Bachelors,14,88,84,Yes,No,91
Male,High School,32,84,73,No,Yes,95
Female,Intermediate,3,77,75,Yes,Yes,64
Female,PhD,0,83,100,Yes,Yes,94
Male,Masters,21,69,65,Yes,Yes,89
Female,None,9,100,65,Yes,Yes,82
Female,High School,12,72,71,Yes,No,74
Male,High School,8,74,86,Yes,No,78
Male,Bachelors,12,80,47,Yes,Yes,68
Female,Masters,27,97,40,No,Yes,73
Female,High School,21,85,61,No,Yes,72
Male,Intermediate,21,72,45,No,Yes,53
Female,Masters,3,97,63,Yes,No,79
Female,Bachelors,5,92,77,Yes,Yes,90
Female,Intermediate,0,90,56,Yes,Yes,63
Male,Intermediate,8,92,48,Yes,Yes,83
Male,Intermediate,22,100,71,Yes,No,98
Female,High School,19,100,82,Yes,Yes,81
Female,Intermediate,13,78,44,Yes,Yes,63
Female,Bachelors,14,100,82,Yes,Yes,81
Male,Masters,9,88,82,No,No,76
Female,Bachelors,16,89,84,Yes,No,98
Female,Bachelors,21,68,88,Yes,Yes,91
Male,High School,2,83,100,Yes,No,84
Female,Intermediate,17,76,64,No,No,55
Male,None,22,93,71,Yes,No,85
Female,High School,11,95,63,Yes,No,71
Female,Bachelors,20,64,70,Yes,No,82
Female,PhD,37,84,92,Yes,Yes,100
Male,None,14,96,49,Yes,No,57
Male,Intermediate,18,83,57,Yes,Yes,71
Male,Masters,9,92,90,Yes,No,100
Female,High School,16,88,85,Yes,Yes,90
Male,Intermediate,18,88,64,Yes,No,88
Female,Bachelors,16,82,82,No,No,82
Female,Bachelors,6,72,75,Yes,Yes,82
Male,High School,16,73,92,Yes,No,71
Female,Intermediate,26,92,71,Yes,Yes,90
Female,Bachelors,18,85,85,Yes,No,93
Female,Intermediate,22,83,100,Yes,Yes,100
Female,None,13,80,78,Yes,Yes,80
Female,Bachelors,20,81,70,Yes,No,98
Male,None,17,95,80,Yes,Yes,87
Female,Bachelors,7,81,64,Yes,No,72
Male,High School,17,71,100,Yes,Yes,90
Male,PhD,7,92,72,No,Yes,85
Female,Intermediate,9,82,65,Yes,Yes,70
Female,High School,16,85,57,Yes,Yes,73
Female,High School,17,100,86,Yes,Yes,91
Male,High School,5,84,83,Yes,Yes,90
Female,Masters,23,87,62,Yes,Yes,80
Male,PhD,19,73,78,Yes,Yes,100
Female,Intermediate,9,82,47,No,No,50
Male,Intermediate,2,91,72,Yes,No,65
Female,Bachelors,13,69,76,Yes,Yes,93
Female,Masters,11,87,95,Yes,No,100
Male,Intermediate,15,86,58,Yes,Yes,87
Male,Intermediate,12,85,50,Yes,No,76
Female,Intermediate,0,95,56,Yes,No,83
Male,Bachelors,11,88,49,Yes,No,79
Female,None,12,99,90,Yes,Yes,84
Male,Bachelors,20,75,93,Yes,No,97
Male,Intermediate,9,86,74,Yes,Yes,90
Female,Bachelors,28,85,88,Yes,No,95
Female,None,0,74,72,No,Yes,49
Female,Intermediate,25,94,68,Yes,No,86
Male,Intermediate,13,100,65,No,No,57
Male,Bachelors,21,84,65,Yes,No,87
Female,None,15,90,46,Yes,Yes,54
Female,Intermediate,24,85,73,Yes,No,87
Male,Intermediate,11,77,69,Yes,Yes,84
Male,Intermediate,6,66,81,Yes,No,70
Male,Bachelors,26,77,71,Yes,Yes,100
Female,Bachelors,14,71,67,Yes,Yes,72
Female,Masters,16,100,56,Yes,Yes,100
Female,High School,24,83,71,Yes,Yes,90
Male,Masters,6,81,81,Yes,Yes,78
Female,Intermediate,19,93,52,No,Yes,90
Male,None,10,73,71,Yes,Yes,68
Female,None,13,77,73,Yes,No,63
Male,High School,15,85,59,Yes,No,63
Male,Bachelors,2,95,61,Yes,Yes,78
Male,Bachelors,8,90,73,Yes,Yes,86
Female,Bachelors,25,87,52,Yes,Yes,88
Female,Intermediate,22,85,75,Yes,Yes,87
Female,Intermediate,14,89,56,Yes,No,79
Male,High School,16,87,85,Yes,No,81
Male,High School,12,74,100,Yes,Yes,73
Male,Intermediate,25,85,57,No,Yes,73
Male,None,13,74,78,Yes,Yes,57
Male,High School,16,85,59,Yes,No,76
Female,Intermediate,24,80,85,Yes,No,83
Male,Bachelors,8,100,51,Yes,Yes,82
Female,PhD,27,84,77,No,Yes,100
Female,Masters,2,70,56,Yes,No,64
Male,Bachelors,28,83,66,Yes,No,98
Female,Intermediate,12,90,54,No,Yes,63
Female,Bachelors,13,100,82,Yes,Yes,100
Male,Bachelors,0,79,57,Yes,Yes,69
Female,High School,11,69,78,Yes,Yes,70
Male,Intermediate,6,93,64,Yes,Yes,82
Female,Masters,10,71,68,Yes,Yes,81
Female,Intermediate,13,80,72,No,Yes,65
Female,Intermediate,22,82,58,No,Yes,68
Female,Intermediate,16,84,73,Yes,No,81
Male,High School,17,91,92,Yes,Yes,100
Female,Intermediate,6,78,58,Yes,Yes,57
Male,High School,7,82,87,No,Yes,71
Female,None,29,84,92,Yes,Yes,96
Male,None,9,86,57,Yes,No,65
Male,Masters,28,85,48,Yes,Yes,100
Male,High School,13,89,74,Yes,Yes,81
Female,Intermediate,15,93,61,Yes,No,78
Female,High School,23,88,98,Yes,Yes,100
Female,Masters,25,89,70,Yes,No,97
Male,High School,14,69,57,Yes,Yes,67
Female,Intermediate,11,85,52,Yes,Yes,77
Female,Masters,14,89,86,Yes,Yes,94
Male,Masters,17,92,61,No,Yes,77
Female,High School,22,78,70,Yes,No,75
Male,Masters,15,78,84,Yes,No,100
Female,Intermediate,19,79,62,Yes,Yes,58
Female,Intermediate,28,90,69,Yes,Yes,95
Male,High School,18,95,69,Yes,No,82
Female,None,17,80,80,No,No,54
Male,Bachelors,2,94,78,Yes,Yes,88
Female,Intermediate,0,86,66,Yes,Yes,76
Female,Intermediate,18,83,70,Yes,Yes,88
Male,Bachelors,14,82,64,No,No,53
Male,Bachelors,10,92,47,Yes,Yes,87
Male,High School,16,88,73,Yes,Yes,78
Female,Bachelors,14,100,98,Yes,No,100
Male,High School,24,76,56,Yes,Yes,82
Female,Bachelors,15,90,58,Yes,Yes,79
Female,Bachelors,9,79,56,No,Yes,72
Male,PhD,22,76,80,Yes,Yes,98
Female,None,13,84,76,Yes,Yes,61
Male,None,19,86,67,Yes,Yes,85
Female,High School,11,100,56,No,Yes,61
